feature,drift_score
PaperlessBilling,0.0727956379492242
AutoPays,0.03059327749724979
HasInternet,0.01894220460621635
AvgMonthlyCharges,0.01836303525183135
NoContractNoAutopay,0.017849586714426
ChargeDeviation,0.01597395302039982
tenure,0.012184135973044291
M2M_HighCharge,0.012013742102958013
IsLoyalCustomer,0.009428768624917613
MonthlyCharges,0.008480649544317927
ServiceAdoptionRate,0.008050116000381366
ServiceCount,0.008050116000381212
TotalCharges,0.007278156427748829
TenureGroup,0.006756876757832671
LongTermContract,0.006616862788085495
